Ticker Symbol,Name,Price (in Rs),FF Market Cap (in Cr),% by Market Cap,Buy Price,Quantity
RELIANCE,RELIANCE INDUSTRIES LTD.,2035.4,658068.43,11.23%,2035.4,137
HDFCBANK,HDFC BANK LTD,1425.8,623127.97,10.63%,1425.8,186
INFY*,INFOSYS LTD.,1610.25,596662.78,10.18%,1610.25,158
ICICIBANK,ICICI BANK LTD.,682.7,472849.46,8.07%,682.7,295
HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,2440.75,440738.35,7.52%,2440.75,77
TCS,TATA CONSULTANCY SERVICES LTD.,3167.5,328068.87,5.60%,3167.5,44
KOTAKBANK,KOTAK MAHINDRA BANK LTD.,1654.95,242810.97,4.14%,1654.95,62
HINDUNILVR,HINDUSTAN UNILEVER LTD.,2334.05,208394.2,3.56%,2334.05,38
LT,LARSEN & TOUBRO LTD.,1601.4,193442.75,3.30%,1601.4,51
AXISBANK,AXIS BANK LTD.,709,180392.86,3.08%,709,108
ITC,ITC LTD.,205,179155.23,3.06%,205,372
SBIN,STATE BANK OF INDIA,431.7,165668.46,2.83%,431.7,163
BAJFINANCE,BAJAJ FINANCE LIMITED,6228.9,165428.07,2.82%,6228.9,11
ASIANPAINT,ASIAN PAINTS LTD.,2958.55,133378.23,2.28%,2958.55,19
BHARTIARTL,BHARTI AIRTEL LTD.,561.9,132696.72,2.26%,561.9,100
TATASTEEL,TATA STEEL LTD.,1433.75,113767.29,1.94%,1433.75,33
HCLTECH,HCL TECHNOLOGIES LTD.,1025.45,111309.11,1.90%,1025.45,46
MARUTI,MARUTI SUZUKI INDIA LTD.,6978.7,92757.55,1.58%,6978.7,5
ULTRACEMCO,ULTRATECH CEMENT LTD.,7623.75,88025.61,1.50%,7623.75,4
BAJAJFINSV,BAJAJ FINSERV LTD.,14221.3,85999.37,1.47%,14221.3,2
SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD.,774,85423.81,1.46%,774,47
TECHM,TECH MAHINDRA LTD.,1209.45,75014.39,1.28%,1209.45,26
TITAN,TITAN COMPANY LIMITED,1714.5,71539.14,1.22%,1714.5,17
M&M,MAHINDRA & MAHINDRA LTD.,743.2,71143.43,1.21%,743.2,40
NESTLEIND,NESTLE INDIA LTD.,17702.75,63152.46,1.08%,17702.75,1
INDUSINDBK,INDUSIND BANK LTD.,981,59217.61,1.01%,981,25
POWERGRID,POWER GRID CORPORATION OF INDIA LTD.,171.05,58464.41,1.00%,171.05,145
DRREDDY,DR.REDDY'S LABORATORIES LTD.,4712.7,57229.6,0.98%,4712.7,5
NTPC,NTPC LTD.,118.2,56161.15,0.96%,118.2,202
BAJAJ-AUTO,BAJAJ AUTO LTD.,3831.05,49886.08,0.85%,3831.05,5
,,,5859974.36,,,
